"Status","DaysEnrollToStart","Campus1","Campus2","ProgramVersionBSDH2017","ProgramVersionBSN2013","ProgramVersionBSN2015","DaysLeadToEnroll","GenderFemale","MaritalStatusDivorced","MaritalStatusMarried","MaritalStatusSeparated","MaritalStatusSingle","MaritalStatusWidowed","AgeAtLead","IsVeteran1","IsHispanic1","FinancialAidAdvisorID1"
"0",89,0,0,0,0,1,-1,1,0,0,0,1,0,22,0,0,1
"1",105,1,0,0,0,0,-1,1,1,0,0,0,0,39,0,0,1
"1",38,0,0,0,0,0,0,1,1,0,0,0,0,42,0,0,1
"0",104,0,1,0,0,1,137,1,0,0,0,1,0,19,0,0,1
"0",104,1,0,0,0,0,699,1,0,0,0,1,0,32,0,1,1
"1",125,1,0,0,0,1,-1,1,0,0,0,1,0,20,0,1,1
"0",103,0,1,0,0,0,2000,1,0,1,0,0,0,30,0,1,1
"1",122,0,1,0,0,1,-1,1,1,0,0,0,0,35,0,0,1
"1",53,1,0,0,0,1,0,1,0,0,0,1,0,29,0,0,1
"0",41,1,0,0,0,1,193,1,0,0,0,1,0,21,0,0,1
"0",105,0,1,0,0,1,-1,1,0,0,0,1,0,20,0,0,1
"1",80,1,0,0,0,1,-1,1,0,0,0,1,0,42,0,0,1
"0",108,0,0,0,0,1,-1,0,0,0,0,1,0,19,0,0,1
"1",125,0,1,0,0,0,112,1,0,0,0,1,0,29,0,0,0
"1",109,1,0,0,0,1,-1,1,0,0,0,1,0,28,0,1,1
"1",69,0,1,0,0,1,-1,1,0,0,0,0,0,32,0,0,0
"1",53,1,0,0,0,0,92,1,0,0,0,1,0,39,0,0,1
"0",130,0,0,0,0,1,48,1,0,0,0,0,0,19,0,0,1
"1",136,0,1,0,0,1,-1,1,0,0,0,1,0,18,0,0,0
"1",62,1,0,0,0,1,5,1,0,0,0,1,0,33,0,0,1
"1",101,0,1,0,0,0,93,1,0,0,0,1,0,30,0,0,0
"1",129,0,1,0,0,0,7,1,0,1,0,0,0,38,0,0,1
"0",88,1,0,0,0,1,1346,1,0,0,0,1,0,21,0,0,1
"0",91,0,1,0,0,1,-1,1,0,1,0,0,0,22,0,0,1
"0",103,0,0,1,0,0,95,1,0,1,0,0,0,30,0,1,1
"0",26,1,0,0,0,1,-1,1,0,1,0,0,0,36,0,1,1
"1",136,0,0,1,0,0,69,1,0,0,0,1,0,21,0,0,0
"0",54,0,0,0,0,1,-1,1,0,0,0,1,0,29,0,0,1
"1",18,0,0,1,0,0,222,0,0,0,0,1,0,20,0,0,0
"1",124,0,0,0,0,1,0,1,0,0,0,1,0,21,0,0,0
"0",66,0,1,0,0,1,-1,0,0,1,0,0,0,28,1,0,1
"0",48,0,0,0,0,1,979,1,0,0,0,1,0,37,0,0,1
"1",147,0,0,0,0,1,1529,1,0,0,0,0,0,25,0,1,1
"0",47,0,0,0,0,1,-1,1,0,0,0,1,0,20,0,1,1
"0",76,0,1,0,0,1,0,1,0,0,0,1,0,22,0,0,1
"0",81,1,0,0,0,1,2009,1,0,0,0,1,0,20,0,1,1
"1",66,0,0,1,0,0,-1,0,0,0,0,1,0,20,0,1,1
"1",80,0,0,1,0,0,0,1,0,0,0,1,0,21,0,1,1
"1",84,0,0,0,0,0,-1,1,0,0,0,1,0,27,0,0,0
"1",131,0,0,0,0,1,0,1,0,0,0,1,0,22,0,1,1
"0",88,0,0,0,0,1,-1,1,0,0,0,1,0,33,0,0,1
"1",61,0,0,1,0,0,0,1,0,0,0,1,0,20,0,0,0
"1",94,0,1,0,0,1,-1,1,0,0,0,1,0,30,0,0,0
"1",68,0,0,0,0,1,783,1,1,0,0,0,0,47,0,1,1
"1",112,0,1,0,0,0,718,1,0,0,0,1,0,27,0,0,0
"1",116,0,1,0,0,1,1478,1,0,1,0,0,0,37,0,1,0
"1",54,0,0,0,0,1,14,1,0,0,0,1,0,23,0,1,1
"0",105,0,1,0,0,1,-1,1,0,0,0,1,0,27,0,0,1
"1",144,0,0,0,0,1,-1,0,0,1,0,0,0,40,0,1,1
"1",131,0,1,0,0,1,1234,1,0,0,0,1,0,25,0,1,0
"0",49,1,0,0,0,1,0,0,0,1,0,0,0,26,1,0,1
